Occurrence ID,Short title,Author,Publication year,Title,Volume no.,Pages,Journal,Related objects,Editor,Book,Related publications
3533,"ZAR 13 (2007), 23-38.","Kleber, Kristin",2007,Zum Meineid und zu seiner Bestrafung in Babylonien.,13,23-38,Zeitschrift für Altorientalische und Biblische Rechtsgeschichte,,,,
3517,"ZA 92 (2002), 140-145","Streck, Michael , P.",2002,"Rv. G. Deutscher, Syntactic Change in Akkadian. the Evolution of Sentential Complementation (New York 2000)",92,140-145,Zeitschrift für Assyriologie,,,,
3501,"ZA 89 (1999), 247-268","Vargyas, Péter",1999,Kaspu ginnu and the Monetary Reform of Darius I,89,247-268,Zeitschrift für Assyriologie,,,,
3483,"ZA 86 (1996), 274-275","van Soldt, Wilfred H.",1996,"Rv. A.J. Sachs and H. Hunger, Astronomical Diaries and Related Texts from Babylonia II",86,274-275,Zeitschrift für Assyriologie,,,,
3467,"ZA 81 (1991), 87-107","Maul, Stefan M.",1991,"Neues zu den ""Graeco-Babyloniaca""",81,87-107,Zeitschrift für Assyriologie,,,,
3450,"ZA 73 (1983 publ. 1984), 114-120","Geller, Mark J.",1983 publ. 1984,More Graeco-Babylonica,73,114-120,Zeitschrift für Assyriologie,,,,
3434,"ZA 68 (1978), 129-149","Sack, Ronald H.",1978,"Nergal-šarra-uṣur, King of Babylon as seen in the Cuneiform, Greek Latin and Hebrew Sources",68,129-149,Zeitschrift für Assyriologie,,,,
3417,"ZA 60 = NF 26 (1970), 175","von Soden, Wolfram",1970,"Rv. S.S. Ahmed, Southern Mesopotamia in the Time of Ashurbanipal",60,175,Zeitschrift für Assyriologie,,,,
3401,"ZA 50 (1952), 203-213","Ebeling, Erich",1952,Die Rüstung eines babylonischen Panzerreiters nach einem Vertrage aus der Zeit Darius II.,50,203-213,Zeitschrift für Assyriologie,,,,
3385,"Strassmaier, ZA 3 (1888)","Strassmaier, Johann N.",1888,Arsaciden-Inschriften,3,129-158,,,,,
3369,"WZKM 77 (1987), 209-213","Schmitt, Rüdiger",1987,"Rv. J.C. Greenfield and B. Porten, The Bisitun Inscription of Darius the Great: Aramaic Version (1982)",77,209-213,Wiener Zeitschrift für die Kunde des Morgenlandes,,,,
3353,"WZJ 19 (1970), 905-912","Oelsner, Joachim",1970,Eine Rechtsurkunde aus dem seleukidischen Uruk in der Hilprecht-Sammlung Vorderasiatischer Altertümer,19,905-912,Wissenschaftliche Zeitschrift der Friedrich-Schiller-Universtät Jena,,,,
3337,"WeOr 31 (2000/2001), 229-235","Koch, Johannes",2000/2001,"Rv. H. Hunger and D. Pingree, Astral Sciences in Mesopotamia, HdO 44 (Leiden and Boston/Köln 1999)",31,229-235,Die Welt des Orients,,,,
3321,"WeOr 2 (1954), 46-51","Ebeling, Erich",1954,Der Eid der Pachtabgabenaufleger (êmedu) von Uruk in neubabylonischer und persischer Zeit,2,46-51,Die Welt des Orients,,,,
3305,"WeOr 1 (1947), 78-92","Alt, Albrecht",1947,Eine neue Provinz des Keilschriftrechts,1,78-92,Die Welt des Orients,,,,
3287,"UF 29 (1997), 797-814","Zadok, Ran",1997,Historical and Ethno-linguistic Notes,29,797-814,Ugarit-Forschungen,,,,
3271,"Transeuphratène 8 (1994), 95-107","Limet, Henri",1994,La perception de l´espace dans le Proche-Orient au Ier millénaire av. J.-C.,8,95-107,Transeuphratène,,,,
3255,"The Classical Journal 62 (1967), 182-183","McGregor, M.F.",1967,"Rv. W. Culican, the Medes and the Persians",62,182-183,The Classical Journal,,,,
3239,"Syria 40 (1963), 360-361","Parrot, André",1963,"Rv. E. Porada, Iran Ancien",40,360-361,Syria,,,,
3223,"Studia et Acta Orientalia 1 (1958), 65-82","Banateanu, Vlad",1958,Les Arménians des inscriptions des Behistun,1,65-82,Studia et Acta Orientalia,,,,
3207,"Sprache 18 (1972), 49-52","Schmitt, Rüdiger",1972,Persepolitanisches I,18,49-52,Sprache,,,,
3191,"SH II (1949), 227-235","Oppenheim, A. Leo",1949,"Akk. arad ekalli = ""Builder""",II,227-235,Signaturen der Tafeln aus Šemšāra,,,,
3175,"Saeculum 19 (1968), 143-155","Jaritz, Kurt",1968,Der Untergang des babylonischen Reiches,19,143-155,Saeculum,,,,
3159,"RSO 42 (1967), 27-43","Prosdocimi, A.",1967,Note di persiano antico,42,27-43,Rivista degli studi orientali,,,,
3143,"RIDA 3e Série 1 (1954), 101-117","Cardascia, Guillaume",1954,"Documents babyloniens des 8me et 7me siècles, à propos d'un ouvrage récent",3/1.,101-117,Revue Internationale des Droits de l'Antiquité,,,,
3127,"RBI 34 (1986), 11-53","Cagni, Luigi",1986,"Le fonti mesopotamiche dei periodi neo-babilonese, achéménide e séleucide (VI-III sec. A.C.)",34,11-53,Rivista Biblica Italiana,,,,
3111,"RA 96 (2002), 149-168.","Zawadzki, Stefan",2002,Payment in Wool in the Economy of the Ebabbar Temple at Sippar,96,149-168,Revue d'Assyriologie et d'Archéologie Orientale,,,,
3095,"RA 88 (1988), 59-63","Snell, Daniel C.",1988,A Neo-Babylonian Colophon,88,59-63,Revue d'Assyriologie et d'Archéologie Orientale,,,,
3079,"RA 81 (1987 publ.1988), 165-166","Joannès, Francis",1987 publ.1988,A propos de la tablette cunéiforme de Tell Tawilan,81,165-166,Revue d'Assyriologie et d'Archéologie Orientale,,,,
3063,"RA 77 (1983 publ.1984), 188-189","McEwan, Gilbert J.P.",1983 publ. 1984,dIštar-(giš)tuk,77,188-189,Revue d'Assyriologie et d'Archéologie Orientale,,,,
3047,"RA 68 (1974 publ. 1975), 179-183","Grillot-Susini, Françoise",1974 publ. 1975,"Rv. R.T. Hallock, Persepolis Fortification Tablets (OIP 92)",68,179-183,Revue d'Assyriologie et d'Archéologie Orientale,,,,
3031,"RA 51 (1957), 154-156","Szlechter, Émile",1957,"Rv. H. Petschow, Neubabylonisches Pfandrecht (Berlin 1956)",51,154-156,Revue d'Assyriologie et d'Archéologie Orientale,,,,
3015,"RA 24 (1927), 38-41","Scheil, Vincent",1927,"La trinité urukienne Innin, Istar, Nana‹",24,38-41,Revue d'Assyriologie et d'Archéologie Orientale,,,,
2999,"RA 101 (2007), 125-136","Jursa, Michael",2007,Die Söhne Kudurrus und die Herkunft der neubabylonischen Dynastie,101,125-136,Revue d'Assyriologie et d'Archéologie Orientale,,,,
2983,"PSBA 16 (1893-94), 308-311","Pinches, Theophilus G.",1893-94,Names of Plants and things made herefrom in Babylonia,16,308-311,Proceedings of the Society of Biblical Archaeology,,,,
2967,"PalSb 17 (1967), 41-49","Dandamayev, Muhammed A.",1967,Tempelbauern im späten Babylonien,17,41-49,Palestinskij Szbornik,,,,
2951,"OrAn 25 (1986), 29-50","Frame, Grant",1986,Some Neo-Babylonian and Persian Documents Involving Boats,25,29-50,Oriens Antiquus,,,,
2933,"Or 71 (2002), 465-467","Koch, Heidemarie",2002,"Rv. P. Briant, Bulletin d'histoire achémenide II",71,465-467,Orientalia,,,,
2916,"Or 64 (1995), 474-477","van der Spek, Robartus",1995,"Rv. R. Rollinger, Herodots babylonischer Logos. Eine kritische Untersuchung der Glaubwürdigkeitsdiskussion an Hand ausgewählter Beispiele (1993)",64,474-477,Orientalia,,,,
2899,"Or 54 (1985), 257-259","Renger, Johannes",1985,Ein seleukidischer Ehrentitel in keilschriftlicher Überlieferung,54,257-259,Orientalia,,,,
2883,"Or 42 (1973), 324-327","Oppenheim, A. Leo",1973,A New Subdivision of theShekel in the Arsacide Period,42,324-327,Orientalia,,,,
2866,"Or 32 (1963), 437-448","Schmitt, Rüdiger",1963,"Ein altpersisches ghostword und das sog. ""inverse ca""",32,437-448,Orientalia,,,,
2850,"Or 23 (1954), 351-382","Nicolò, Mariano, San",1954,Materialien zur Viehwirtschaft in den neubabylonischen Tempeln. IV,23,351-382,Orientalia,,,,
2834,"Or 12 (1943), 159-160","Pohl, Alfred",1943,"Rv. A. Falkenstein, Topographie von Uruk. I",12,159-160,Orientalia,,,,
2818,"OLZ 94 (1999), 326-332","Oelsner, Joachim",1999,"Rv. A.J. Sachs and H. Hunger, Astronomical Diaries and Related Texts from Babylonia, Vol. III (1996)",94,326-332,Orientalistische Literaturzeitung,,,,
2802,"OLZ 78 (1983), 246-250","Oelsner, Joachim",1983,"Rv. H. Hunger, Spätbabylonische Texte aus Uruk, Teil I",78,246-250,Orientalistische Literaturzeitung,,,,
2786,"OLZ 62 (1967), 281-286","Asmussen, Jes P.",1967,"Rv. G. Binder, Die Aussetzung des Königskindes. Kyros and Romulus",62,281-286,Orientalistische Literaturzeitung,,,,
2770,"OLZ 44 (1941), 23-25","Junker, Heinrich",1941,"Rv. E. Herzfeld, Altpersische Inschriften",44,23-25,Orientalistische Literaturzeitung,,,,
2754,"NAPR 5 (1991), 47-55","Spycket, Agnès",1991,Abū Qubūr. Les figurines de la résidence achéménide,5,47-55,Northern Akkad Project Reports,,,,
2738,NABU 2010/58,"Koch, Johannes",2010,Zur Datierung von MUL.APIN I i 1-ii 35.,58,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2722,NABU 2009/26,"Mitsuma, Yasuyuki",2009,Addenda et corrigenda ad NABU 2008/69,26,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2706,NABU 2007/9,"Mitsuma, Yasuyuki",2007,"""The General in Charge of the Four stratēgiai""?",9,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2689,NABU 2006/44,"Nielsen, John P.",2006,Additions to Michael Jursa's Neo-Babylonian Legal and Administrative Documents (GMTR 1).,44,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2673,NABU 2005/26,"Zadok, Ran",2005,Borsippean Notes,26,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2657,NABU 2003/36,"Fried, Lisbeth S.",2003,A Governor of Byblos from Sippar,36,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2641,NABU 2002/13,"Jursa, Michael",2002,Weitere aramäische Buchstabennamen in akkadischer Überlieferung,13,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2625,NABU 2000/70,"Finkel, Irving L.",2000,Lord Aberdeen´s Black Stone,70,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2609,NABU 1999/16,"Zawadzki, Stefan",1999,Patinnu = TÚG.MURUB4.ÍB.LÁ,16,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2593,NABU 1998/56,"Zadok, Ran",1998,West Semitic material in Neo/Late-Babylonian and Neo-Assyrian sources,56,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2577,NABU 1998/111,"Stolper, Matthew W.",1998,No 'garda of the Fourth year' in PBS 2/1 91,111,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2560,NABU 1997/149,"Zadok, Ran",1997,Some Iranians in Cuneiform Documents,149,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2544,NABU 1996/29,"MacGinnis, John",1996,A furher note on the zazakku,29,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2528,NABU 1995/54,"Zawadzki, Stefan",1995,"Is here a document dated to the Reign of Bardiya II (Vahyazdāta)?,",54,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2512,NABU 1994/90,"MacGinnis, John",1994,"A royal share in the meals of Šamaš,",90,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2495,NABU 1992/88,"Brinkman, John A.",1992,A Legal Text from Borsippa Dated Posthumously Under Aššur-nādin-šumi,88,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2479,NABU 1990/93,"Beaulieu, Paul-A.",1990,Cuts of Meat for King Nabuchadnezzar,93,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2463,NABU 1989/109,"Joannès, Francis",1989,šêpê ina ṭiṭṭi šakânu,109,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2446,NABU 1987/86,"Joannès, Francis",1987,Une copie privée d'acte juridique,86,,Nouvelles Assyriologiques Brèves et Utilitaires,,,,
2430,"Museum Helveticum 22 (1965), 38-48","Martin, Victor",1965,"La politique des Achéménides. L´exploration, prélude de la conquête",22,38-48,Museum Helveticum,,,,
2414,"Mesopotamia 30 (1995), 51-215","Golenko, Vladimir K.",1995,Notes on the Coinage and Currency of the Early Seleucid State-II-IV,30,51-215,Mesopotamia,,,,
2398,"Méditerranées 17 (1998), 99-109","Vargyas, Péter",1998,L´économie de la Mésopotamie et les tablettes astronomiques,17,99-109,Méditerranées. Revue de Centre d'Études Internationales sur la Romanité,,,,
2382,"Language 19 (1943), 221-229","Kent, Roland G.",1943,Studies in Old Persian Morphology,19,221-229,Language,,,,
2366,"JNES 70 (2011), 1-12","Boiy, Tom",2011,The Reigns of the Seleucid kings According to theBabylon King List.,70,1-12,Journal of Near Eastern Studies,,,,
2350,"JNES 62 (2003), 284-286","Biggs, Robert D.",2003,"Rv. H. Hunger and D. Pingree, Astral Sciences in Mesopotamia, HdO 44 (Leiden and Boston/Köln 1999)",62,284-286,Journal of Near Eastern Studies,,,,
2334,"JNES 56 (1997), 287-290","Biggs, Robert D.",1997,"Rv. H. Schmid, Der Tempelturm Etemenanki in Babylon",56,287-290,Journal of Near Eastern Studies,,,,
2318,"JNES 46 (1987), 319-320","Brinkman, John A.",1987,"Rv. M. Fales, Assyrian Royal Inscriptions: New Horizons in Literary, Ideological, and Historical Analysis (Rome 198l)",46,319-320,Journal of Near Eastern Studies,,,,
2302,"JNES 38 (1979), 195-197","Doty, L. Timothy",1979,An Official Seal of the Seleucid Period,38,195-197,Journal of Near Eastern Studies,,,,
2285,"JNES 24 (1965), 161-166","Brinkman, John A.",1965,Elamite Military Aid to Merodach-Baladan,24,161-166,Journal of Near Eastern Studies,,,,
2269,"JNES 17 (1958), 157","Oppenheim, A. Leo",1958,"Rv. O. Neugebauer, Astronomical Cuneiform Texts",17,157,Journal of Near Eastern Studies,,,,
2253,"JHS 75 (1955), 176-177","Clairmont, Christoph",1955,"Rv. E. F. Schmidt, Persepolis I",75,176-177,Journal of Hellenic Studies,,,,
2237,"JESHO 22 (1979), 136-161","Briant, Pierre",1979,L´élévage ovin dans l´Empire achéménide,22,136-161,Journal of the Economic and Social History of the Orient,,,,
2221,"JCSMS 3 (2008), 5-12","Beaulieu, Paul-A.",2008,Nebuchadnezzar's Babylon as World Capital.,3,5-12,Journal of the Canadian Society for Mesopotamian Studies,,,,
2204,"JCS 53 (2001), 83-132","Stolper, Matthew W.",2001,Fifth Century Nippur: Texts of the Murašûs and from their Surroundings,53,83-132,Journal of Cuneiform Studies,8554,,,
2188,"JCS 43-45 (1991-1993), 71-87","Britton, John P.",1991-1993,A Table of 4th Powers and Related Texts from Seleucid Babylon,43-45,71-87,Journal of Cuneiform Studies,,,,
2171,"JCS 31 (1979), 127-148","Rochberg-Halton, Francesca",1979,"The University of Iowa Cuneiform Texts,",31,127-148,Journal of Cuneiform Studies,,,,
2155,"JCS 2 (1948), 209-222","Neugebauer, Otto",1948,Solstices and Equinoxes in Babylonian Astronomy during the Seleucid Period,2,209-222,Journal of Cuneiform Studies,,,,
2139,"JBL 68 (1949), 371-377","Albright, William F.",1949,"Rv. A.T. Olmstead, History of the Persian Empire (Achaemenid Period)",68,371-377,Journal of Biblical Literature,,,,
2123,"JAOS 75 (1955), 195-197","Benveniste, Émile",1955,"Rv. R.G. Kent, Old Persian Grammar Lexicon Texts. 2nd ed",75,195-197,Journal of the American Oriental Society,,,,
2107,"JAOS 130 (2010), 267-270","Ben-Dov, Jonathan A.",2010,Neo-Assyrian Astronomical Terminology in the Babylonian Talmud,130,267-270,Journal of the American Oriental Society,,,,
2091,"JAOS 120/1 (2000), 102-103","Young, Theodore Cuyler Jr.",2000,"Rv. H. Sancisi-Weerdenburg, A. Kuhrt and M. Cool-Root (eds), Achaemenid History, VIII: Continuity and Change",120/1,102-103,Journal of the American Oriental Society,,,,
2075,"JAOS 114 (1994), 519-520","Brosius, Maria",1994,"Rv. H. Koch, Es kündet Dareios der König … Vom Leben im persischen Großreich (1992)",114,519-520,Journal of the American Oriental Society,,,,
2059,"JAOS 102 (1982), 165-166","Oller, G.H.",1982,"Rv. S.M. Burstein, The Babyloniaca of Berossus",102,165-166,Journal of the American Oriental Society,,,,
2043,"JAC 16 (2001), 87-91","Honggeng, Guo",2001,The Mysterious Four-faced Statue (OIM A719),16,87-91,Journal of Ancient Civilizations,,,,
2027,"JA 257 (1970), 237-241","Labat, René",1970,Èlamismes dans la syntaxe babylonienne de textes susiens bilingues,257,237-241,Journal Asiatique,,,,
2011,"Iura 27 (1976 publ. 1980), 184-191","Hengstl, J.",1976 publ. 1980,"Rv. H. Lanz, Die neubabylonischen harrānu-Geschäftsunternehmen",27,184-191,Iura,,,,
1995,"Iraq 64 (2002), 249-258.","George, Andrew, R.",2002,Tablets from the Sippar library XI. The Babylonian almanac.,64,249-258,Iraq,,,,
1979,"Iraq 56 (1994), 135-148","George, Andrew, R.",1994,Tablets from the Sippar library. III. Two Royal Counterfeits,56,135-148,Iraq,,,,
1963,"Iraq 42 (1980), 84-86","Walker, Christopher,  Bromhead F.",1980,Some Mesopotamian Inscribed Vessels,42,84-86,Iraq,,,,
1947,"Iraq 17 (1955), 21-56","Saggs, Henry W.F.",1955,"The Nimrud Letters, 1952 - Part I",17,69-89,Iraq,,,,
1931,"IrAn 31 (1996), 83-100","Jacobs, Bruno",1996,Kyros der Große als Geisel am medischen Königshof,31,83-100,Iranica Antiqua,,,,
1915,"IrAn 17 (1982 publ. 1983), 65-84","Harper, Prudence O.",1982 publ. 1983,Five Clay Sculptures of the Neo-Babylonian Period,17,65-84,Iranica Antiqua,,,,
