Object ID,Museum No.,Publication,Text number,Period,Place of issue,Type and content,Day remark,Month,Month remark,Year,Year remark,King,King remark,Paraphrase,Transliteration,Imported,Publication name,Archive,Day (Babylonian),Bibliography,Title,Duplicate,Related objects,Julian date,Julian date year,Place of issue Remark,Museum inventory no.,Page number,Join,Bibliography (free text),CDLI No.,NaBuCCo No.,Other markings,Orientation,Other markings Description,CDLI reference,Items and quantifiable data,Provenience,Akkadian keywords,General keywords,Photo,Julian date Remark,Provenience Remark,Philological notes,Philological notes Remark,Identifier,Babylonian date Remark
4342,BM 31036,Abraham 2004,035,Each,Babylon city,Receipts,-,II,-,26,-,Dar,-,"Receipt of dates and silver by a royal official from the head of the Egibi family. By order of the Governor of Babylon.<br />
<strong>A</strong>, a courtier (<em>&scaron;a rē&scaron; &scaron;arri</em>), receives (<em>mahāru</em>) 15 kor of dates from <strong>B</strong>. He acts by order of (<em>ina qibi</em>) <strong>C</strong>, Governor of Babylon (<em>&scaron;ākin ṭēmi</em>). He also (<em>adi</em>) receives the register (<em>giṭṭu</em>) on 2/3 minas of silver [&hellip;] of which 1/8 is alloy, which is in the hands (<em>ina qāt</em>) of <strong>D</strong>. The parties to the contract have taken one copy of the document each. Names of 4 witnesses and the scribe.<br />
<br />
<strong>A</strong>=Bēl-u&scaron;allim/Ina-Nab&ucirc;-ultarrah, (<em>&scaron;a rē&scaron; &scaron;arri</em>);&nbsp;<strong>B</strong>=&Scaron;i&scaron;ku/Iddinaya//Egibi<sub> </sub>(=Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi);&nbsp;<strong>C</strong>=Gūzānu,(<em>&scaron;ākin ṭēmi</em> of Babylon);&nbsp;<strong>D</strong>=Iqūpu/Nādinu//Gahul-Marduk",,Kathleen Abraham (18/04/2016),Abraham 2004 035,Egibi/Nūr-Sîn,18,,BM 31036,,,24/05/496 BCE,496,,,,,,,,,,,,,,,,,,,,,,
4326,BM 30651,Abraham 2004,020,-,No place,Multiple (list),no day,-,no month,,no year,no king,no king,"List of quantities of silver and personal names. Reference to a City Governor and persons known from texts in the Egibi archive.<br />
x+1 minas of white silver from <strong>A</strong> of the house of the Babylonian(s) (<em>&scaron;a bīt mār bābili</em>)<br />
2 minas of white silver from <strong>B</strong> and <strong>C</strong> at the Upper New Canal (<em>nāru e&scaron;&scaron;u el&ucirc;</em>)<br />
2 minas of white silver from <strong>D</strong> in &Scaron;abīlu.<br />
1 1/2 minas of white silver from <strong>E</strong>.<br />
x+1/2 minas of white silver: <strong>F</strong> from <strong>G</strong> in &Scaron;abīlu.<br />
x minas 5 shekels of white silver: <strong>H</strong> [...].[...]<br />
[...] shekels of white silver [(which ...) as proxy for (<em>na&scaron;partu</em>) the Governor (<em>&scaron;ākin ṭēmi</em>), <strong>J</strong>, the Governor&#39;s servant (<em>ardu</em>), in the presence of (<em>ina u&scaron;uzzi</em>) <strong>K</strong> and <strong>L</strong>.<br />
<br />
<strong>A</strong>=Bēl-iddin;&nbsp;<strong>B</strong>=Nab&ucirc;-ittannu;&nbsp;<strong>C</strong>=Libluṭ;&nbsp;<strong>D</strong>=Aplaya;&nbsp;<strong>E</strong>=Marduk//Pahāru;&nbsp;<strong>F</strong>=Nidinti-Bēl-damqat;&nbsp;<br />
<strong>G</strong>=Ha&scaron;daya;&nbsp;<strong>H</strong>=Nidinti-Bēl-damqat;&nbsp;<strong>I</strong>=Zababa-&scaron;umu-iddin;&nbsp;<strong>J</strong>=Arad-Bunene;&nbsp;<strong>K</strong>=Napi&scaron;tu;&nbsp;<strong>L</strong>=Bān&ucirc;nu",,Kathleen Abraham (18/04/2016),Abraham 2004 020,Egibi/Nūr-Sîn,,,BM 30651,,,,,,,,,,,,,,,,,,,,,,,,,,
4310,BM 30256,Abraham 2004,005,Each,Babylon city,Receipts,-,VII,-,24,-,Dar,-,"Receipt of barley for rations from the head of the Egibi family. By order of the Governor of Babylon.<br />
<strong>A</strong>, a slave of <strong>C</strong>, Governor of Babylon (<em>&scaron;ākin ṭēmi)</em>, receives (<em>mahāru</em>) 3 kor of barley, by order of (<em>ina qibi</em>) his master<em>,</em> from <strong>B</strong><em>.</em> It is the barley which has been given (<em>nadānu, </em>G Stat.) for the rations (<em>kurummatu</em>)<em> </em>of the boatmen (<em>mallāhu</em>) who are on the boat loaded with beer that will sail (<em>alāku</em>)<em> </em>to Dur-Kurigalzu*. Names of 5 witnesses and the scribe.<br />
*Wr. Dūr-galzu.<br />
<br />
<strong>A</strong>=Nidinti-Bēl-damqat, slave of <strong>C</strong>;&nbsp;<strong>B</strong>=&Scaron;i&scaron;ki/Iddinaya//Egibi (=Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi);&nbsp;<strong>C</strong>=Ina-Esagil-lilbur, (<em>&scaron;ākin ṭēmi</em> of Babylon)",,Kathleen Abraham (18/04/2016),Abraham 2004 005,Egibi/Nūr-Sîn,2,,BM 30256,,,25/09/498 BCE,498,,,,,,,,,,,,,,,,,,,,,,
8174,BM 31211,Nbn.,750,NB,Bābtu,Promissory notes ina muẖẖi,-,I,-,14,-,Nbn,-,"Promissory note for silver, purchase price for onions.<br />
<strong>B<sub>1</sub></strong> and <strong>B<sub>2, </sub></strong>slave of <strong>C</strong> owe 25 shekels of silver, of which 1/8 is alloy to <strong>A<sub>1</sub></strong>, <strong>A<sub>2</sub></strong> and <strong>A<sub>3</sub></strong>, the price for onions, to be paid in Nisan (I). The debtors assume warranty for each other. Names of 2 witnesses and the scribe: Nab&ucirc;-mukīn-apli/Nab&ucirc;-&scaron;umu-uṣur//Egibi (<strong>A<sub>3</sub></strong>)<br />
<br />
<strong>A<sub>1</sub> </strong>= Nab&ucirc;-ahhē-&scaron;ullim/Iqī&scaron;āya//Itinnu; <strong>A<sub>2</sub></strong> = Bēl-iddin/&Scaron;ama&scaron;-apla-uṣur//Egibi; <strong>A<sub>3</sub></strong> = Nab&ucirc;-mukīn-apli/Nab&ucirc;-&scaron;umu-uṣur//Egibi;&nbsp; <strong>B<sub>1 </sub></strong>= Bēl-iddin/Balāssu//Suhāya; <strong>B<sub>2 </sub></strong>= Ṣilli-Bēl, slave of Iddin-Marduk/Iqī&scaron;āya//Nūr-S&icirc;n; <strong>C</strong> = Iddin-Marduk/Iqī&scaron;āya//Nūr-S&icirc;n",,Kathleen Abraham (07/01/2017),Nbn. 750,Egibi/Nūr-Sîn,1,"Reedition: Wunsch 1993, no. 220; Shiff 1987, no. 141",BM 31211,,,,,,,,,,,,,,,,,,,,,,,,,,
8157,BM 31037,Nbk.,397,NB,Bīt-Bēltu,Promissory notes ina muẖẖi,-,III,-,42,-,Nbk,-,"Promissory note for onions. Payment for harbor costs.<br />
<strong>B</strong> owes 5500 strings (<em>gidlu</em>) of onions to <strong>A</strong>, the royal harbor master (<em>rab kāri &scaron;a &scaron;arri</em>), to be delivered in D&ucirc;zu (IV) in Babylon. The onions are &quot;of the royal harbor&quot; (<em>&scaron;a kāri &scaron;a &scaron;arri</em>), meaning that they are part of a onion transport by boat and the costs related to such transports. Names of 2 witnesses and the scribe: Bēl-aplu-iddin/Nab&ucirc;-&scaron;umu-i&scaron;kun//&Scaron;ang&ucirc;-Ninurta.<br />
<br />
<strong>A</strong> = Gimillu/&Scaron;ama&scaron;-zēru-ibni//S&icirc;n-&scaron;ad&ucirc;nu, royal harbor master (<em>rab kāri &scaron;a &scaron;arri</em>); <strong>B</strong> = Nab&ucirc;-mu&scaron;ētiq-udd&ecirc;/Tabnēa",,Kathleen Abraham (07/01/2017),Nbk. 397,Egibi/Nūr-Sîn,25,"Reedition: Wunsch 1993, no. 45",BM 31037,,,,,,,,,,,,,,,,,,,,,,,,,,
8140,BM 30960,Nbn.,335,NB,Babylon city,Promissory notes ina muẖẖi,-,II,-,9,-,Nbn,-,"Promissory note for silver.<br />
<strong>B</strong> owes 11 1/2 shekels of silver to <strong>A</strong>, to be paid without interest in Simān (III). In addition, there is an earlier promissory note for 3 old and empty barrels. Names of 3 witnesses and the scribe: Bēl-aplu-iddin/Zēria//Bēl-aplu-uṣur.<br />
This tablet is probably a retroact.&nbsp;<br />
<br />
<strong>A</strong> = &Scaron;āpik-zēri/Nab&ucirc;-&scaron;umu-iddin//Nādin-&scaron;e&#39;im; <strong>B</strong> = Nab&ucirc;-tultab&scaron;i-lī&scaron;ir/Bēl-zēru-ibni//Nappāhu&nbsp;",,Kathleen Abraham (07/01/2017),Nbn. 335,Egibi/Nūr-Sîn,23,"Reedition: Wunsch 1993, no. 164",BM 30960,,,,,,,,,,,,,,,,,,,,,,,,,,
8124,BM 30310,Nbn.,287,NB,Šaḫrīn,Promissory notes ina muẖẖi,-,II,-,8,-,Nbn,-,"Promissory note for barley and silver with interest.<br />
<strong>B</strong> owes 133;2.0.0 kor of barley and 9 1/2 shekels of silver to <strong>A</strong>, to be delivered in Addar (XII). For a year now (&quot;since Ayyār [II] of Nabonidus 7th year&quot;) this barley debt has been bearing interest (in silver) (<em>uṭṭata u hubulla inamdin</em>). Names of 2 witnesses and the scribe: Mu&scaron;ēzib-Marduk/Marduk-ēṭir//Nappāhu.<br />
<br />
<strong>A </strong>= Iddin-Marduk/Iqī&scaron;āya//Nūr-S&icirc;n; <strong>B</strong> = Tallāya/Rahiannu",,Kathleen Abraham (07/01/2017),Nbn. 287,Egibi/Nūr-Sîn,23,,BM 30310,,,,,,,,,,,,,,,,,,,,,,,,,,
8107,BM 31271,Dar.,228,Each,Broken,Promissory notes ina muẖẖi,-,VII,-,7,-,Dar,-,"Promissory note for silver, purchase price for land.<br />
<strong>B</strong> owes 1 mina of medium quality silver, of which one-eighth is alloy, to <strong>A</strong>, to be paid without interest in Arahsamna (VIII). It is what remains to be paid (<em>rīhtu</em>) of the purchase price for arable land (<em>zēru</em>). Names of 3 witnesses and the scribe: Marduk-nāṣir-apli//Egibi (debtor).<br />
<br />
<strong>A</strong> = Nab&ucirc;-ēṭir/Lī&scaron;ir//Ṣāhit-gin&ecirc;; <strong>B</strong> = Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi","Transliteration available on <a href=""http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1657105"" target=""_blank"">Achemenet</a>",Kathleen Abraham (07/01/2017),Dar. 228,Egibi/Nūr-Sîn,13,"Reedition: Wunsch 2000, no. 185; Krecher 1970, 276.",BM 31271,,,,,,,,,,,,,,,,,,,,,,,,,,
8091,BM 30798,Dar.,155,Each,Nāru-eššu (Babylon),Promissory notes ina muẖẖi,-,I,-,,[-],Dar,-,"Promissory note for barley and wheat. Impost and fixed rent.<br />
<strong>B</strong> owes x.1.4 kor of barley, 1.2.3 kor of emmer wheat and 0.0.5 kor of barley wheat, to be delivered in Ayyār (II) at the New Canal. Delivery should be in one installment according to the creditor&#39;s measure. The agricultural products are <strong>A</strong>&#39;s half-share (<em>ahi zittu</em>) in the estimated income from imposts (<em>imittu</em>) on a field (<em>eqlu</em>) at the New Canal that he owes in common with his brothers (<strong>C</strong> and <strong>D</strong>). In addition (<em>elat)</em>, there are still to be delivered a broken amount of bundles (<em>makṣaru</em>) of straw (<em>tibnu</em>) and the fixed rent (<em>sūtu</em>) in barley. Names of 2 witnesses and the scribe: Nab&ucirc;-ahhē-bulliṭ/Itti-Marduk-balāṭu//Egibi.<br />
<br />
<strong>A</strong> = Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi; <strong>B</strong> = Gimil-&Scaron;ama&scaron;/Lī&scaron;ir//&Scaron;ama&scaron;-bari; <strong>C</strong> = Nab&ucirc;-ahhē-bulliṭ/Itti-Marduk-balāṭu//Egibi; <strong>D</strong> = Nergal-u&scaron;ēzib/Itti-Marduk-balāṭu//Egibi","Transliteration available on <a href=""http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1655635"" target=""_blank"">Achemenet</a>",Kathleen Abraham (07/01/2017),Dar. 155,Egibi/Nūr-Sîn,22,"Reedition: Wunsch 2000, no. 26; Krecher 1970, 264f.",BM 30798,,,,,Full name: Nāru eššu Bīt-Gimil-Šamaš,,,,,,,,,,,,,,,,,,,,,
8075,Rm 689,Nbn.,122,NB,Babylon city,Promissory notes ina muẖẖi,-,IX,-,3,-,Nbn,-,"Promissory note for silver and onions. Voidance of another debt.<br />
<strong>B</strong> owes x minas and 5 shekels of silver and x + 13000 bundles of onions to <strong>A</strong>, the slave of <strong>C</strong>. The&nbsp; promissory note about 4 minas of silver that <strong>B</strong> owes to <strong>A</strong>&#39;s master (<strong>C</strong>) that may turn up in the latter&#39;s house has been annulled. Names of 2 witnesses and the scribe: Nab&ucirc;-ahhē-bulliṭ/Marduk-zēru-ibni//Ibni-Adad.<br />
<br />
<strong>A</strong> = Nergal-rēṣūa, slave of Iddin-Marduk(/Iqī&scaron;āya)//Nūr-S&icirc;n; <strong>B</strong> = Nergalahu-iddin/Ahhea; <strong>C</strong> = Iddin-Marduk(/Iqī&scaron;āya)//Nūr-S&icirc;n",,Kathleen Abraham (07/01/2017),Nbn. 122,Egibi/Nūr-Sîn,25,,Rm 689,,,,,,,,,,,,,,,,,,,,,,,,,,
8058,MNB 1137,TCL 12,72,NB,Šaḫrīn,Promissory notes ina muẖẖi,-,I,-,1,-,Nbn,-,"Promissory note for barley.<br />
<strong>B</strong> owes 0;3.2.0 kor of barley to <strong>A</strong>, to be delivered in its full mount (<em>gamru</em>) in Ayyār (II). He does not have to pay interest. Delivery is due in Alu-&scaron;a-Ah-iddin. This debt comes in addition (<em>elat</em>) to a previous one to the same creditor (<em>ra&scaron;&ucirc;tu</em>). Names of 2 witnesses and the scribe: Bēl-iddin/Bēl-upahhir//Dābibi.<br />
<br />
<strong>A </strong>= Iddin-Marduk/Iqī&scaron;āya//Nūr-S&icirc;n; <strong>B </strong>= Ahūtu/Rahianni",,Kathleen Abraham (07/01/2017),TCL 12 72,Egibi/Nūr-Sîn,6,"Reedition: Wunsch 1993, no. 91",MNB 1137,,,,,,,,,,,,,,,,,,,,,,,,,,
